REPORT_DATE,NEIGHBOURHOOD_158,INJURIES,DEATH
2010-09-28,Humber Summit (21),2,1
2010-11-15,Englemount-Lawrence (32),0,0
2010-02-04,Regent Park (72),1,0
2005-06-09,Mount Olive-Silverstone-Jamestown (2),0,0
2015-09-30,Regent Park (72),1,0
2012-03-04,Englemount-Lawrence (32),2,0
2009-01-15,Glenfield-Jane Heights (25),0,0
2007-02-15,Glenfield-Jane Heights (25),4,0
2013-03-24,Malvern East (146),2,1
2018-08-23,West Humber-Clairville (1),0,0
2018-09-07,York University Heights (27),2,0
2018-01-20,Yorkdale-Glen Park (31),1,0
2013-06-07,Englemount-Lawrence (32),0,0
2017-01-12,Humber Summit (21),1,1
2022-06-20,Malvern East (146),1,0
2008-06-14,York University Heights (27),5,0
2011-07-19,Mount Olive-Silverstone-Jamestown (2),1,0
2017-12-24,Glenfield-Jane Heights (25),0,0
2018-04-07,West Humber-Clairville (1),0,0
2006-08-10,Englemount-Lawrence (32),0,0
2016-03-01,Malvern East (146),0,0
2006-10-13,Regent Park (72),0,0
2009-07-05,West Humber-Clairville (1),1,0
2018-12-27,Glenfield-Jane Heights (25),1,0
2011-11-27,Englemount-Lawrence (32),0,0
2020-11-21,Black Creek (24),1,0
2011-01-10,Humber Summit (21),1,0
2007-12-20,Black Creek (24),0,0
2019-10-17,Malvern East (146),0,0
2008-11-24,Humber Summit (21),3,0
2015-10-16,York University Heights (27),0,0
2012-02-27,York University Heights (27),1,0
2008-06-01,Mount Olive-Silverstone-Jamestown (2),3,0
2022-06-11,Black Creek (24),4,0
2005-07-08,Glenfield-Jane Heights (25),1,0
2020-05-26,Glenfield-Jane Heights (25),2,0
2016-03-26,Glenfield-Jane Heights (25),0,0
2023-02-17,Malvern East (146),0,0
2007-03-12,Glenfield-Jane Heights (25),0,0
2011-02-04,Regent Park (72),0,0
2010-12-12,Black Creek (24),0,0
2008-12-03,Black Creek (24),1,1
2006-06-23,West Humber-Clairville (1),0,0
2023-05-21,Glenfield-Jane Heights (25),0,0
2020-04-27,Englemount-Lawrence (32),0,0
2006-11-12,Malvern East (146),1,0
